Date Time,Open,High,Low,Close,Volume,Adj Close
2017-11-01,7.78,7.87,7.75,7.82,20352.0,7.82
2017-11-02,7.79,7.83,7.55,7.64,31601.0,7.64
2017-11-03,7.65,7.65,7.45,7.48,28060.0,7.48
2017-11-06,7.5,7.59,7.39,7.57,21438.0,7.57
2017-11-07,7.56,7.62,7.51,7.59,14804.0,7.59
2017-11-08,7.61,7.69,7.56,7.62,14130.0,7.62
2017-11-09,7.67,7.68,7.62,7.63,11626.0,7.63
2017-11-10,7.65,7.78,7.53,7.75,29047.0,7.75
2017-11-13,7.7,7.75,7.62,7.72,20420.0,7.72
2017-11-14,7.72,7.72,7.58,7.59,13700.0,7.59
2017-11-15,7.62,7.62,7.53,7.56,9407.0,7.56
2017-11-16,7.58,7.65,7.52,7.63,14116.0,7.63
2017-11-17,7.6,7.6,7.17,7.23,27715.0,7.23
2017-11-20,7.19,7.52,6.9,7.48,52474.0,7.48
2017-11-21,7.43,7.45,7.32,7.37,22228.0,7.37
2017-11-22,7.37,7.43,7.29,7.36,18737.0,7.36
2017-11-23,7.32,7.36,7.21,7.21,15428.0,7.21
2017-11-24,7.19,7.28,7.13,7.21,9634.0,7.21
2017-11-27,7.17,7.2,7.11,7.13,12558.0,7.13
2017-11-28,7.12,7.18,7.11,7.17,11959.0,7.17
2017-11-29,7.17,7.22,7.08,7.19,17958.0,7.19
2017-11-30,7.17,7.2,7.11,7.2,15715.0,7.2
2017-12-01,7.44,7.44,7.3,7.4,37741.0,7.4
2017-12-04,7.32,7.41,7.26,7.3,18543.0,7.3
2017-12-05,7.33,7.34,7.03,7.12,20514.0,7.12
2017-12-06,7.14,7.26,7.04,7.26,16921.0,7.26
2017-12-07,7.25,7.26,7.17,7.23,7222.0,7.23
2017-12-08,7.25,7.31,7.2,7.3,16078.0,7.3
2017-12-11,7.28,7.32,7.24,7.31,13176.0,7.31
2017-12-12,7.3,7.39,7.27,7.29,10334.0,7.29
2017-12-13,7.28,7.45,7.24,7.45,14700.0,7.45
2017-12-14,7.41,7.47,7.34,7.39,15841.0,7.39
2017-12-15,7.4,7.41,7.33,7.4,15538.0,7.4
2017-12-18,7.42,7.65,7.36,7.36,28572.0,7.36
2017-12-19,7.37,7.58,7.3,7.46,18808.0,7.46
2017-12-20,7.42,7.49,7.36,7.36,13291.0,7.36
2017-12-21,7.31,7.46,7.15,7.17,30239.0,7.17
2017-12-22,7.21,7.21,6.97,7.03,40882.0,7.03
2017-12-25,7.01,7.06,6.67,6.78,59273.0,6.78
2017-12-26,6.76,6.85,6.7,6.81,31769.0,6.81
2017-12-27,6.77,6.84,6.74,6.77,18786.0,6.77
2017-12-28,6.78,6.84,6.74,6.83,14990.0,6.83
2017-12-29,6.83,6.89,6.81,6.88,17925.0,6.88
2018-01-02,6.88,6.91,6.84,6.89,21026.0,6.89
2018-01-03,6.91,6.95,6.87,6.94,21789.0,6.94
2018-01-04,6.97,6.98,6.91,6.92,20929.0,6.92
2018-01-05,6.94,7.01,6.92,6.99,21300.0,6.99
2018-01-08,6.95,7.04,6.88,6.97,42329.0,6.97
2018-01-09,6.97,6.97,6.86,6.89,25235.0,6.89
2018-01-10,6.89,6.91,6.74,6.79,26401.0,6.79
